9h00	Registration		
9h30	Introduction 	Laerte Sodre	IAG/USP
9h40	Intermediate-Mass Black Hole Feedback in Dwarf Galaxiesh a View from Cosmological Simulations	Paramita Barai	IAG/USP
10h00	MUSE kinematics of the cD galaxy NGC 3311 in the Hydra I cluster	Carlos Eduardo Barbosa	IAG/USP
10h20	The filamentary structure of the central galaxy of RXC J1504-0428	Laerte Sodré	IAG/USP
10h40 	Coffee-break		
11h00	Baryon Acoustic Oscillation in the Dark Energy Survey	Rogerio Rosenfeld	IFT-UNESP & LIneA
11h20	Measurement of the Baryon Acoustic Oscillation scale at z=1 with Dark Energy Survey Year 1 data	Hugo Camacho	IFUSP
11h40	Clumps, contamination and luminosity changesh aftermaths of the intracluster--interstellar interaction	Rafael Ruggiero	IAG/USP
12h00	Poster Session		
12h30	Lunch		
14h00	The origin of metals found in the X-ray gas of the Fornax cluster	Hugo Vicente Capelato	UNICSUL
14h20 	Dark Matter properties in Galaxy Clusters through Gravitational Lensing	Eduardo Serra Cypriano	IAG/USP
14h40	How Does the Gaussianity of the Velocity Distribution of Groups and Clusters Relate to the Galaxian Properties?	Reinaldo Ramos de Carvalho	INPE
15h00	Coffee-break		
15h20	Accurate Photometric Redshifts in Clusters of Galaxies	Alberto Molino	IAG/USP
15h40	The halo-galaxy connection in the Large-Scale Structure of the Universe	Antonio D. Montero Dorta	IFUSP
16h00 	The galaxy environment in the KiDS survey	Marcus Vinicius Duarte	IAG/USP
16h20 	Open discussion	
